2022-05-20 03:52:22,064 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 03:52:22,065 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 03:52:22,065 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:52:24,837 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:53:11,545 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 03:54:50,549 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:54:53,393 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:55:43,495 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 03:57:40,945 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:57:43,666 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 03:58:27,079 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 03:59:46,562 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 03:59:49,512 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 04:02:56,872 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 04:02:56,873 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 04:02:56,873 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 04:02:59,692 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 04:08:17,156 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from CDA1A256-991A-774B-DB12-7C324EDA8C53
2022-05-20 04:08:26,613 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 04:08:29,621 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 04:09:25,551 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 04:09:25,551 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 04:09:25,551 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 04:09:28,251 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:80:3C
2022-05-20 04:15:57,701 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=10, micro=4, releaselevel='final', serial=0)
2022-05-20 04:15:57,701 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2.1-x86_64-i386-64bit
2022-05-20 04:15:57,702 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
2022-05-20 04:16:00,734 | MainThread   | [ERROR   ] | _connect            |: disconnected
2022-05-20 04:16:01,740 | MainThread   | [WARNING ] | connect             |: Attempting to connect again...
2022-05-20 04:16:01,741 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:80:3C
