2022-03-14 22:47:14,192 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 22:50:39,816 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 22:50:57,661 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 22:51:00,424 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 22:52:08,482 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 22:54:01,975 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 22:54:04,552 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 22:59:52,789 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:01:57,834 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:02:00,562 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:03:14,620 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:03:33,077 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:03:35,812 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:04:09,365 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:04:20,313 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:04:23,154 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:15:30,031 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:17:35,062 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:17:39,779 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:19:29,747 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:19:36,253 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:19:38,871 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:21:09,398 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:21:15,409 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:21:18,125 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:21:39,143 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
2022-03-14 23:21:43,086 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:B0:6C:9A:3C
2022-03-14 23:21:45,682 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:B0:6C:9A:3C
2022-03-14 23:34:25,360 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 607452C2-8441-D076-814E-841EB3635426
